Sc,SpAc,response,rt,subj_idx,CE,SC,CE_squared,SC_squared
1,Sp,1,0.344,ppn11,0.1146927189,0.8698252509,0.0067920503,0.001250389
1,Sp,1,0.283,ppn11,0.1227386321,0.9598363366,0.0055305969,0.0029866493
1,Sp,0,0.293,ppn11,0.048094796,0.9659900384,0.0222045222,0.00369712
1,Sp,1,0.411,ppn11,0.0563182507,0.7644360825,0.0198213635,0.0198105649
1,Sp,0,0.302,ppn11,0.0883879702,0.7144650168,0.0118197437,0.0363745282
1,Sp,1,0.4,ppn11,0.1007640727,0.7516251613,0.0092818854,0.0235809592
1,Sp,1,0.368,ppn11,0.0766186864,0.759946565,0.0145173409,0.02109452
1,Sp,1,0.315,ppn11,0.0667567732,0.7177396945,0.0169910812,0.0351361516
1,Sp,1,0.47,ppn11,0.1047910422,1.0004567543,0.008522165,0.0090764993
1,Sp,1,0.304,ppn11,0.0801950975,0.8423134242,0.0136683029,0.0039529722
1,Sp,1,0.557,ppn11,0.1133018945,0.9182211684,0.0070232312,0.0001699132
1,Sp,1,0.307,ppn11,0.1163532461,1.0500654816,0.0065211066,0.0209900378
1,Sp,0,0.356,ppn11,0.0521176045,0.8481306752,0.0210218131,0.0032553205
1,Sp,0,0.498,ppn11,0.1063798679,1.0535534408,0.0082313426,0.0220128704
1,Sp,0,0.309,ppn11,0.1211933369,0.9273392142,0.0057628258,0.0004907609
1,Sp,1,0.358,ppn11,0.0534999941,0.7423668768,0.0206228615,0.0265100966
1,Sp,1,0.399,ppn11,0.1253000331,0.8257140303,0.0051561852,0.0063158085
1,Sp,1,0.594,ppn11,0.0703709162,0.780732195,0.0160619373,0.0154887723
1,Sp,1,0.611,ppn11,0.1356856147,0.7936617141,0.0037725393,0.0124376867
1,Sp,1,0.406,ppn11,0.1195707373,0.9571877973,0.0060118123,0.0027041774
1,Sp,1,0.364,ppn11,0.0836072477,0.8027276681,0.0128821064,0.0104977285
1,Sp,1,0.874,ppn11,0.1331484991,1.0045757532,0.0040906406,0.0098783049
1,Sp,1,0.394,ppn11,0.1156288423,0.6915748553,0.0066386274,0.0456297601
1,Sp,0,0.442,ppn11,0.120974,0.9663199138,0.0057961751,0.0037373443
1,Sp,1,0.585,ppn11,0.0567697013,0.7488773242,0.0196944493,0.0244324306
1,Sp,0,0.286,ppn11,0.1205191607,0.9839754501,0.0058656381,0.0062077631
1,Sp,1,0.39,ppn11,0.1337752205,1.0236023054,0.0040108655,0.0140223998
1,Sp,1,0.385,ppn11,0.1311133994,1.1123274897,0.0043551045,0.042907559
1,Sp,1,0.361,ppn11,0.1058769058,0.7361139184,0.0083228598,0.0285853996
1,Sp,0,0.396,ppn11,0.1134446608,0.7611840511,0.0069993226,0.0207365875
1,Sp,1,0.58,ppn11,0.0756372128,0.7731850698,0.0147548156,0.0174242696
1,Sp,1,0.567,ppn11,0.0846361604,0.772561027,0.0126496031,0.0175894076
1,Sp,1,0.655,ppn11,0.0967103541,0.9402231011,0.0100794092,0.0012275921
1,Sp,1,0.344,ppn11,0.0868089934,0.9262270415,0.0121655653,0.0004427216
1,Sp,1,0.367,ppn11,0.0814665104,0.812640496,0.0133726338,0.0085646872
1,Sp,1,0.426,ppn11,0.0966112339,0.7299114,0.0100993216,0.0307212174
1,Sp,1,0.419,ppn11,0.0946502975,0.8980125993,0.010497297,0.000051459
1,Sp,1,0.313,ppn11,0.124470551,0.7530290195,0.0052759978,0.0231517744
1,Sp,1,0.489,ppn11,0.0672738545,0.7185207829,0.0168565457,0.0348439373
1,Sp,0,0.922,ppn11,0.1315589602,1.1067632993,0.004296495,0.0406333709
1,Sp,1,0.636,ppn11,0.1266168518,0.9355941802,0.0049688067,0.0009246519
1,Sp,1,0.323,ppn11,0.1156560959,0.7628333468,0.006634187,0.0202643038
