Sc,lmh,SpAc,response,rt,subj_idx,CE,SC,CE_squared,SC_squared
1,low,Sp,1,0.352,ppn10,0.2425138215,0.5855207302,0.0389929012,0.1147202467
1,low,Sp,1,0.432,ppn10,0.0556730466,0.5492115339,0.1476918529,0.140634728
1,low,Sp,1,0.425,ppn10,0.083070665,0.5263030547,0.1273842906,0.1583414801
1,low,Sp,1,0.341,ppn10,0.2542067526,0.4781895642,0.0345117084,0.1989471679
1,low,Sp,0,0.272,ppn10,0.1145334202,0.666393437,0.105915492,0.0664768593
1,low,Sp,1,0.392,ppn10,0.1458755542,0.5711081347,0.0864974392,0.1246911706
1,low,Sp,1,0.34,ppn10,0.0897163611,0.5588582982,0.1226846336,0.1334924646
1,low,Sp,1,0.322,ppn10,0.2190494044,0.6683402791,0.0488103387,0.0654767368
1,low,Sp,1,0.329,ppn10,0.1631197444,0.546428709,0.0766516145,0.142729663
1,low,Sp,1,0.509,ppn10,0.1692152752,0.5118500101,0.0733135492,0.1700527236
1,low,Sp,1,0.369,ppn10,0.1785924935,0.6196350039,0.0683234411,0.0927747638
1,low,Sp,1,0.485,ppn10,0.2387672168,0.4759279067,0.0404865938,0.2009698395
1,low,Sp,1,0.476,ppn10,0.2549681626,0.7172706016,0.0342293889,0.0428299179
1,low,Sp,1,0.341,ppn10,0.1896814321,0.7156950018,0.0626493851,0.0434845535
1,low,Sp,1,0.335,ppn10,0.0651986978,0.7113523186,0.1404610425,0.0453145675
1,low,Sp,1,0.418,ppn10,0.0555541152,0.6578329711,0.1477832794,0.070964449
1,low,Sp,1,0.347,ppn10,0.1760854817,0.6239013981,0.0696403295,0.0901939682
1,low,Sp,1,0.448,ppn10,0.0904503299,0.6132513082,0.1221710071,0.0967043288
1,low,Sp,1,0.395,ppn10,0.2665486971,0.6963276652,0.0300784252,0.0519369693
1,low,Sp,1,0.454,ppn10,0.2443842826,0.5616574279,0.0382576941,0.131454885
1,low,Sp,1,0.341,ppn10,0.1784329617,0.6326140672,0.0684068658,0.0850366471
1,low,Sp,1,0.44,ppn10,0.1172699594,0.4832549933,0.1041417858,0.1944541097
1,low,Sp,0,0.326,ppn10,0.2209545172,0.6105946443,0.0479721727,0.0983636891
1,low,Sp,1,0.362,ppn10,0.0335253511,0.4162937406,0.1652054012,0.2579936608
1,low,Sp,0,0.401,ppn10,0.1064308028,0.6381705937,0.111255083,0.0818268398
1,low,Sp,1,0.633,ppn10,0.152155891,0.6311866168,0.0828427316,0.0858712036
1,low,Sp,1,0.377,ppn10,0.0834777627,0.6684814586,0.1270938624,0.0654045055
1,low,Sp,1,0.438,ppn10,0.1149044249,0.604775776,0.1056741452,0.1020474901
1,low,Sp,1,0.415,ppn10,0.13157118,0.3886433594,0.0951160151,0.2868471629
1,low,Sp,1,0.303,ppn10,0.0416539133,0.4042318412,0.1586636905,0.2703923698
1,low,Sp,1,0.365,ppn10,0.1958996283,0.6259843457,0.0595752396,0.0889471923
1,low,Sp,1,0.28,ppn10,0.213647234,0.6753455329,0.0512265319,0.0619407425
1,low,Sp,1,0.361,ppn10,0.2451544709,0.6626398165,0.0379569962,0.0684265489
1,low,Sp,1,0.317,ppn10,0.0493142569,0.4993032254,0.1526197416,0.1805580933
